fomc_date,ticker,sector,window_days,return,benchmark_return,excess_return
2015-01-28,XLK,Technology,30,0.042478873080119994,0.03477561516262484,0.007703257917495154
2015-01-28,XLF,Financials,30,0.05560336381659137,0.03477561516262484,0.020827748653966527
2015-01-28,XLV,Health Care,30,0.03109810217016018,0.03477561516262484,-0.00367751299246466
2015-01-28,XLY,Consumer Discretionary,30,0.0852306919521344,0.03477561516262484,0.050455076789509556
2015-01-28,XLP,Consumer Staples,30,0.0030921197908069242,0.03477561516262484,-0.031683495371817916
2015-01-28,XLE,Energy,30,0.003482959546844633,0.03477561516262484,-0.03129265561578021
2015-01-28,XLI,Industrials,30,0.03209336679016905,0.03477561516262484,-0.0026822483724557866
2015-01-28,XLB,Materials,30,0.06474814903837389,0.03477561516262484,0.029972533875749052
2015-01-28,XLU,Utilities,30,-0.09905680575881104,0.03477561516262484,-0.13383242092143588
2015-01-28,SPY,Benchmark,30,0.03477561516262484,0.03477561516262484,0.0
2015-01-28,XLK,Technology,60,0.08212247859899402,0.062229883442677325,0.019892595156316695
2015-01-28,XLF,Financials,60,0.0504579359586117,0.062229883442677325,-0.011771947484065626
2015-01-28,XLV,Health Care,60,0.06904700564873667,0.062229883442677325,0.006817122206059345
2015-01-28,XLY,Consumer Discretionary,60,0.11575363989983467,0.062229883442677325,0.053523756457157345
2015-01-28,XLP,Consumer Staples,60,0.020227263595897327,0.062229883442677325,-0.04200261984678
2015-01-28,XLE,Energy,60,0.10565409447386598,0.062229883442677325,0.04342421103118865
2015-01-28,XLI,Industrials,60,0.03170701229997208,0.062229883442677325,-0.030522871142705243
2015-01-28,XLB,Materials,60,0.0675008689818204,0.062229883442677325,0.005270985539143069
2015-01-28,XLU,Utilities,60,-0.0667457635157439,0.062229883442677325,-0.12897564695842123
2015-01-28,SPY,Benchmark,60,0.062229883442677325,0.062229883442677325,0.0
2015-01-28,XLK,Technology,90,0.06556268010007194,0.04632068854502802,0.019241991555043914
2015-01-28,XLF,Financials,90,0.06603351136661972,0.04632068854502802,0.019712822821591702
2015-01-28,XLV,Health Care,90,0.0630114988149002,0.04632068854502802,0.01669081026987218
2015-01-28,XLY,Consumer Discretionary,90,0.09203775004206549,0.04632068854502802,0.04571706149703747
2015-01-28,XLP,Consumer Staples,90,-0.01337229438193166,0.04632068854502802,-0.05969298292695968
2015-01-28,XLE,Energy,90,0.0415915796848092,0.04632068854502802,-0.0047291088602188225
2015-01-28,XLI,Industrials,90,0.015769676922753773,0.04632068854502802,-0.03055101162227425
2015-01-28,XLB,Materials,90,0.05836765760942808,0.04632068854502802,0.01204696906440006
2015-01-28,XLU,Utilities,90,-0.12214141203891282,0.04632068854502802,-0.16846210058394084
2015-01-28,SPY,Benchmark,90,0.04632068854502802,0.04632068854502802,0.0
2015-03-18,XLK,Technology,30,0.004564451320837382,-0.005081287022415726,0.009645738343253107
2015-03-18,XLF,Financials,30,-0.019429737643128497,-0.005081287022415726,-0.014348450620712772
2015-03-18,XLV,Health Care,30,-0.030070490999851263,-0.005081287022415726,-0.024989203977435537
2015-03-18,XLY,Consumer Discretionary,30,-0.009530169946527112,-0.005081287022415726,-0.004448882924111386
2015-03-18,XLP,Consumer Staples,30,-0.003762240863001476,-0.005081287022415726,0.00131904615941425
2015-03-18,XLE,Energy,30,0.07353315484615353,-0.005081287022415726,0.07861444186856925
2015-03-18,XLI,Industrials,30,-0.02723044813582043,-0.005081287022415726,-0.022149161113404703
2015-03-18,XLB,Materials,30,0.013024365073805555,-0.005081287022415726,0.01810565209622128
2015-03-18,XLU,Utilities,30,-0.01723982711896599,-0.005081287022415726,-0.012158540096550263
2015-03-18,SPY,Benchmark,30,-0.005081287022415726,-0.005081287022415726,0.0
2015-03-18,XLK,Technology,60,0.006688255849820468,0.002316345486545135,0.004371910363275333
