ticker,sector,window_days,sentiment_regime,n_meetings,mean_return,median_return,std_return,mean_excess_return,cohens_d_vs_bearish
XLK,Technology,30,Bearish,62,0.018485544377828667,0.022158972529068843,0.07076979164204625,0.006681003083966867,
XLK,Technology,30,Neutral,20,0.03497370270692187,0.04726206752392892,0.07578081970905245,0.018681457284476084,
XLK,Technology,30,Bullish,8,0.0192710817856845,0.0135652032719501,0.03779799002927952,-0.0034370452362082887,0.013846447986431903
XLK,Technology,60,Bearish,62,0.05301599234540172,0.06450873036001781,0.10478790379186624,0.0181266222941161,
XLK,Technology,60,Neutral,19,0.06471092016222528,0.08625297251886943,0.06916263193220212,0.02043026257330545,
XLK,Technology,60,Bullish,8,0.014734599678353263,0.011040113488462344,0.01997024207486391,-0.0038205568669743284,-0.5075100657002022
XLK,Technology,90,Bearish,61,0.0896320426565349,0.08735768712894454,0.11690842103323809,0.026882044869445076,
XLK,Technology,90,Neutral,19,0.0692729631448164,0.08266550012044505,0.082908006972464,0.028910613434936942,
XLK,Technology,90,Bullish,8,0.003507443789714265,-0.0015845986265715095,0.060415374161445934,-0.00016926771955576292,-0.9255468429425655
XLF,Financials,30,Bearish,62,0.009489952898412006,0.015503771513490028,0.08298933049960368,-0.002314588395449794,
XLF,Financials,30,Neutral,20,0.005900161477233684,0.027810251973719335,0.06853145759697647,-0.010392083945212105,
XLF,Financials,30,Bullish,8,0.01647283819282576,0.003671137768019528,0.035314479641756165,-0.006235288829067029,0.10949359285310416
XLF,Financials,60,Bearish,62,0.027884981430765156,0.03604885537741165,0.10127396351533205,-0.007004388620520457,
XLF,Financials,60,Neutral,19,0.045221805240912454,0.05492676734950974,0.08088490257102524,0.0009411476519926313,
XLF,Financials,60,Bullish,8,0.011630621800389804,0.03901091237322918,0.08620881155217841,-0.006924534744937788,-0.17283866186038688
XLF,Financials,90,Bearish,61,0.06499864436562475,0.05980526614889192,0.11540335597742972,0.0022486465785349157,
XLF,Financials,90,Neutral,19,0.02345339660615306,0.04687235601761808,0.10036920757448453,-0.016908953103726403,
XLF,Financials,90,Bullish,8,-0.019814005986948158,0.012771999366238629,0.11114019211836496,-0.023490717496218186,-0.7486210732739798
XLV,Health Care,30,Bearish,62,0.00915836102857155,0.017623943044608015,0.05531279030421619,-0.00264618026529025,
XLV,Health Care,30,Neutral,20,0.010083361350716857,0.021479271772797515,0.05719936896498839,-0.006208884071728931,
XLV,Health Care,30,Bullish,8,0.017053870594138723,0.0335288250641248,0.04567600057026871,-0.005654256427754065,0.15565699234579558
XLV,Health Care,60,Bearish,62,0.023929964728064076,0.030513177741949504,0.06596443609857018,-0.010959405323221537,
XLV,Health Care,60,Neutral,19,0.03319601704169133,0.031136041056810226,0.06363215912738332,-0.011084640547228493,
XLV,Health Care,60,Bullish,8,0.02362041598159531,0.016166759038537926,0.042796425861783345,0.005065259436267719,-0.005567369065991156
XLV,Health Care,90,Bearish,61,0.04110808049167444,0.04780477322053689,0.07382915215303185,-0.021641917295415394,
XLV,Health Care,90,Neutral,19,0.02798227474632243,-0.0008492006330393931,0.06612508493041538,-0.012380074963557034,
XLV,Health Care,90,Bullish,8,0.03315131163702492,0.017097580387652966,0.04964535079309676,0.029474600127754894,-0.12647805586468258
XLY,Consumer Discretionary,30,Bearish,62,0.010863378943670994,0.01635298868570434,0.0801187943679778,-0.0009411623501908072,
XLY,Consumer Discretionary,30,Neutral,20,0.013199471555658631,0.011524825431872165,0.07255967149843598,-0.0030927738667871573,
XLY,Consumer Discretionary,30,Bullish,8,0.025876698014487748,0.01611187045011997,0.030451363079697726,0.00316857099259496,0.24771778258020966
XLY,Consumer Discretionary,60,Bearish,62,0.03345443906396832,0.03531566959529331,0.10556239450278508,-0.0014349309873172933,
XLY,Consumer Discretionary,60,Neutral,19,0.048359288830102744,0.04517860412762431,0.08460937674846289,0.0040786312411829175,
XLY,Consumer Discretionary,60,Bullish,8,0.02541131865319722,0.037434653639448756,0.04528786308115966,0.006856162107869629,-0.09902493956692171
XLY,Consumer Discretionary,90,Bearish,61,0.05924335105253267,0.04081158118325878,0.11381830225782161,-0.003506646734557147,
XLY,Consumer Discretionary,90,Neutral,19,0.05252828528957492,0.08298310011070242,0.09950003764547236,0.012165935579695452,
XLY,Consumer Discretionary,90,Bullish,8,-0.01211831635170299,-0.0022881892286665817,0.061493207253633116,-0.015795027860973018,-0.780106484103784
XLP,Consumer Staples,30,Bearish,62,0.009418740173409079,0.00725356332995708,0.04902854841178122,-0.0023858011204527223,
XLP,Consumer Staples,30,Neutral,20,0.009147783765356476,0.019710217842498712,0.04457679394343193,-0.007144461657089313,
XLP,Consumer Staples,30,Bullish,8,0.022254446741855963,0.028445977684448787,0.020656072346246272,-0.00045368028003682503,0.34119711907631206
XLP,Consumer Staples,60,Bearish,62,0.021928175312190518,0.02973066862599738,0.051208351196903944,-0.012961194739095091,
XLP,Consumer Staples,60,Neutral,19,0.032826535693889394,0.044733243551994484,0.047400576755630405,-0.011454121895030431,
